Date;SWDA.L;XLK;IAU;BIL
2015-01-27;0,262416;0,265296;0,242509;0,229779
2015-01-28;0,263260;0,265341;0,241230;0,230169
2015-01-29;0,263168;0,268956;0,236765;0,231111
2015-01-30;0,263199;0,264923;0,241380;0,230498
2015-02-02;0,263621;0,267139;0,239179;0,230061
2015-02-03;0,264660;0,269665;0,236008;0,229667
2015-02-04;0,264527;0,269712;0,236553;0,229208
2015-02-05;0,263571;0,271436;0,236448;0,228546
2015-02-06;0,266252;0,272188;0,231655;0,229905
2015-02-09;0,265311;0,272018;0,232624;0,230047
2015-02-10;0,264465;0,275281;0,230807;0,229447
2015-02-11;0,265306;0,276662;0,228368;0,229665
2015-02-12;0,263908;0,279312;0,228033;0,228747
2015-02-13;0,264854;0,279596;0,227970;0,227579
2015-02-17;0,266423;0,280470;0,224923;0,228184
2015-02-18;0,265600;0,280727;0,225495;0,228179
2015-02-19;0,266107;0,281435;0,224504;0,227954
2015-02-20;0,266638;0,282730;0,222849;0,227783
2015-02-23;0,266470;0,282749;0,223093;0,227689
2015-02-24;0,267291;0,283048;0,222466;0,227195
2015-02-25;0,266983;0,281765;0,223616;0,227636
2015-02-26;0,267213;0,282561;0,223421;0,226805
2015-02-27;0,266799;0,281951;0,224098;0,227152
2015-03-02;0,267646;0,283450;0,222380;0,226523
2015-03-03;0,267175;0,282524;0,222952;0,227350
2015-03-04;0,268170;0,281751;0,222455;0,227625
2015-03-05;0,269449;0,281057;0,222165;0,227329
2015-03-06;0,272286;0,280209;0,218078;0,229427
2015-03-09;0,270645;0,281635;0,218158;0,229562
2015-03-10;0,269754;0,278862;0,219342;0,232042
2015-03-11;0,272486;0,277151;0,218243;0,232120
2015-03-12;0,274119;0,277735;0,217093;0,231053
2015-03-13;0,275090;0,276250;0,217518;0,231142
2015-03-16;0,276058;0,277888;0,216254;0,229799
2015-03-17;0,276835;0,278152;0,215051;0,229962
2015-03-18;0,275499;0,279344;0,217304;0,227854
2015-03-19;0,277055;0,278334;0,216939;0,227673
2015-03-20;0,276217;0,278802;0,218390;0,226592
2015-03-23;0,276034;0,278377;0,219392;0,226197
2015-03-24;0,276960;0,277146;0,219905;0,225990
2015-03-25;0,276339;0,272889;0,222432;0,228340
2015-03-26;0,274726;0,272968;0,224066;0,228240
2015-03-27;0,274307;0,273611;0,223468;0,228613
2015-03-30;0,277044;0,275661;0,219769;0,227525
2015-03-31;0,276045;0,274317;0,220774;0,228865
2015-04-01;0,274423;0,273265;0,224093;0,228218
2015-04-02;0,275702;0,272941;0,223305;0,228052
2015-04-07;0,276886;0,273166;0,223355;0,226593
2015-04-08;0,275757;0,274558;0,222647;0,227039
2015-04-09;0,278309;0,274635;0,220598;0,226457
2015-04-10;0,280294;0,273660;0,221252;0,224795
2015-04-13;0,280694;0,273547;0,220464;0,225295
2015-04-14;0,279356;0,274089;0,220061;0,226494
2015-04-15;0,279022;0,275008;0,220761;0,225210
2015-04-16;0,277895;0,275030;0,220994;0,226081
2015-04-17;0,276124;0,273066;0,223253;0,227557
2015-04-20;0,277195;0,276132;0,220434;0,226239
2015-04-21;0,276986;0,275603;0,221449;0,225962
2015-04-22;0,275701;0,278946;0,219010;0,226344
2015-04-23;0,275458;0,279136;0,219809;0,225597
2015-04-24;0,275286;0,281862;0,217006;0,225846
2015-04-27;0,274168;0,281061;0,220142;0,224629
2015-04-28;0,270957;0,282128;0,222159;0,224755
2015-04-29;0,269466;0,282527;0,221840;0,226167
2015-04-30;0,271882;0,280653;0,219634;0,227832
2015-05-01;0,273766;0,282407;0,217386;0,226441
2015-05-05;0,272970;0,279125;0,220727;0,227179
