window;snapshot_id;base_currency;valuation_rule;requested_start;requested_end;actual_start;actual_end;n_obs;periods_per_year;source_dates_sha256;residual_tolerance;target_return_ann;success;status;message;iterations;objective;budget_residual;target_residual;bound_violation;return_ann;volatility_ann;feasible;weight_SWDA.L;weight_XLK;weight_IAU;weight_BIL
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,20143636;True;0;Optimization terminated successfully;5;0,02267725;0,00000000;0,00000000;0,00000000;0,20143636;0,15058967;True;0,00000000;0,61050975;0,38949025;0,00000000
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,20505531;True;0;Optimization terminated successfully;5;0,02445252;0,00000000;0,00000000;0,00000000;0,20505531;0,15637302;True;0,00000000;0,65378645;0,34621355;0,00000000
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,20867427;True;0;Optimization terminated successfully;5;0,02645275;0,00000000;-0,00000000;0,00000000;0,20867427;0,16264302;True;0,00000000;0,69706314;0,30293686;0,00000000
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,21229322;True;0;Optimization terminated successfully;4;0,02867794;0,00000000;0,00000000;0,00000000;0,21229322;0,16934563;True;0,00000000;0,74033984;0,25966016;0,00000000
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,21591217;True;0;Optimization terminated successfully;4;0,03112809;0,00000000;-0,00000000;0,00000000;0,21591217;0,17643154;True;0,00000000;0,78361653;0,21638347;0,00000000
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,21953112;True;0;Optimization terminated successfully;4;0,03380319;0,00000000;0,00000000;0,00000000;0,21953112;0,18385644;True;0,00000000;0,82689322;0,17310678;0,00000000
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,22315007;True;0;Optimization terminated successfully;4;0,03670325;0,00000000;-0,00000000;0,00000000;0,22315007;0,19158093;True;0,00000000;0,87016992;0,12983008;0,00000000
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,22676902;True;0;Optimization terminated successfully;3;0,03982827;0,00000000;-0,00000000;0,00000000;0,22676902;0,19957022;True;0,00000000;0,91344661;0,08655339;0,00000000
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,23038797;True;0;Optimization terminated successfully;2;0,04317825;0,00000000;-0,00000000;0,00000000;0,23038797;0,20779377;True;0,00000000;0,95672331;0,04327669;0,00000000
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,23400692;True;0;Optimization terminated successfully;2;0,04675319;0,00000000;0,00000000;0,00000000;0,23400692;0,21622485;True;0,00000000;1,00000000;0,00000000;0,00000000
